ticker,date,time,headline,neg,neu,pos,compound
TSLA,2021-03-15,03:02PM,"In One Chart: The explosion in electric-vehicle funding, valuation and trading",0.0,1.0,0.0,0.0
TSLA,2021-03-15,12:26PM,Volkswagen Takes on Tesla With Battery Push,0.0,1.0,0.0,0.0
TSLA,2021-03-15,03:17AM,"Yellen on Inflation, Astra Pushes Back, and TechnoKing Musk;  What's up in Markets",0.0,1.0,0.0,0.0
TSLA,2021-03-15,03:46AM,Tesla Revokes FSD Beta Access For Driver Who Don't Pay 'Sufficient Attention To The Road',0.0,0.915,0.085,0.0762
TSLA,2021-03-15,05:40AM,Tesla Prepares For Shanghai Gigafactory Expansion,0.0,1.0,0.0,0.0
TSLA,2021-03-15,12:40PM,UPDATE 1-Tesla names Musk 'Technoking' in cryptic regulatory filing,0.0,1.0,0.0,0.0
TSLA,2021-03-15,08:01AM,"Dow Jones Futures: Market Rally Expands, Bitcoin Falls On Crypto Ban Fears; NXP Semi Leads Four Stocks Set To Jump",0.258,0.685,0.055999999999999994,-0.7184
TSLA,2021-03-15,08:15AM,"Elon Musk Anointed 'Technoking of Tesla,' CFO Zach Kirkhorn Named 'Master Of Coin'",0.0,1.0,0.0,0.0
TSLA,2021-03-15,08:51AM,"Elon Musk adds 'Technoking of Tesla' title, CFO takes 'Master of Coin' title: filing",0.0,1.0,0.0,0.0
TSLA,2021-03-15,09:07AM,US STOCKS-Wall Street set for muted open after strong comeback,0.0,0.732,0.268,0.5106
TSLA,2021-03-15,09:51AM,Elon Musk is now officially Technoking of Tesla,0.0,1.0,0.0,0.0
TSLA,2021-03-15,07:27AM,Tesla names Musk 'Technoking' in cryptic regulatory filing,0.0,1.0,0.0,0.0
TSLA,2021-03-15,10:00AM,"Stocks open higher, Elon Musk now officially Technoking of Tesla",0.0,1.0,0.0,0.0
TSLA,2021-03-15,10:00AM,"Elon Musk Named ""Technoking"" of Tesla",0.0,1.0,0.0,0.0
TSLA,2021-03-15,12:14PM,US STOCKS-Wall Street slips on jitters before Fed meeting,0.0,1.0,0.0,0.0
TSLA,2021-03-15,11:33AM,"Airlines soar, AMC jumps, Musks new title",0.0,1.0,0.0,0.0
TSLA,2021-03-15,11:08AM,Elon Musk names himself TechnoKing of Tesla,0.0,1.0,0.0,0.0
TSLA,2021-03-15,01:26AM,Tesla Fremont Factory Recorded 450 COVID-19 Cases After Controversial Reopening In May: Report,0.13,0.87,0.0,-0.2023
