,id,created_at,text,public_metrics
45,1370524679895670784,2021-03-12T23:58:41.000Z,"🚨Let’s SPIN the #Webull Wheel  🌟 1000 SHARES OF GOOG HAVE BEEN ADDED! 💙 

$gme $amc $doge $btc $nio $ocgn $innd $rkt #Pennystocks #StocksToBuy $gteh $wdlf $nnvc $cciv $ctrm $hcmc $wdlf $dpls $fsr $zom $rkt $aabb $sos $pltr $wkhs $kmph $tsla $asti $vacq

https://t.co/p3U3g9KcrH","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
46,1370524677190340610,2021-03-12T23:58:40.000Z,"@elonmusk @Tesla @AustinTeslaClub Hola @elonmusk ,disculpa la molestia  pero tengo una duda que no encuentro respuesta en Internet, pero se puede comprar con #Doge un @AustinTeslaClub","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
47,1370524675227406338,2021-03-12T23:58:40.000Z,RT @ijustine: So my car won’t start but I’m next to a @Tesla dealership... do I just finally buy one so I can get home? Or what’s up? Can I…,"{'retweet_count': 192, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
48,1370524669086998533,2021-03-12T23:58:38.000Z,"RT @itsALLrisky: @elonmusk Hi Elon, I saw a report that Coinbase was used for the Tesla BTC purchase (nice entry btw)

Do you think Coinbas…","{'retweet_count': 715, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
49,1370524662153805824,2021-03-12T23:58:37.000Z,RT @SilkLifeMedSpa: $TRCH scaled more than enough.... holding this block to see what @Metamaterialtec has up its sleeves!... manage your ow…,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
50,1370524660123758593,2021-03-12T23:58:36.000Z,"RT @elonmusk: If you want the Tesla Full Self-Driving Beta downloaded to your car, let us know. Doubling beta program size now with 8.2 &amp; p…","{'retweet_count': 6899, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
51,1370524658492186629,2021-03-12T23:58:36.000Z,"🚨Let’s SPIN the #Webull Wheel  🌟 1000 SHARES OF GOOG HAVE BEEN ADDED! 💙 

$gme $amc $doge $btc $nio $ocgn $innd $rkt #Pennystocks #StocksToBuy $gteh $wdlf $nnvc $cciv $ctrm $hcmc $wdlf $dpls $fsr $zom $rkt $aabb $sos $pltr $wkhs $kmph $tsla $asti $vacq

https://t.co/WV1tMyDYgM","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
52,1370524658177560578,2021-03-12T23:58:36.000Z,@GUNMTLM3 @Tesla @elonmusk @Thompson45T,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
53,1370524658160766976,2021-03-12T23:58:36.000Z,@chi_sportsfan85 @1776_brad He didn't trash Tesla. He just made a contrasting statement. He didn't mention neither good or bad.,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}"
54,1370524645942829057,2021-03-12T23:58:33.000Z,"RT @StanphylCap: ""we’ve also revoked beta where drivers did not pay sufficient attention""

LOL, HOW WOULD THEY KNOW???

THAT'S TOTAL REGULA…","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
